#E EFF Epot Ekin Eint Eext
2.853067897435009e+00 4.111631623253038e+00 1.295864744809243e+00 1.557203152625766e+00 1.372396534895135e-01 1.158625091319729e+00
3.072514726553743e+00 4.029609488037240e+00 1.277373934740042e+00 1.795140791813701e+00 1.448082728157655e-01 1.132565661924277e+00
3.444856440263317e+00 2.956827249751443e+00 1.263671819091266e+00 2.181184621172051e+00 1.264406892775251e-01 1.137231129813740e+00
3.350663572616539e+00 3.377287344782949e+00 1.298682309310436e+00 2.051981263306103e+00 1.320429074544647e-01 1.166639401855972e+00
2.474393391311962e+00 4.591450211122971e+00 1.275347728027397e+00 1.199045663284566e+00 1.452404986154365e-01 1.130107229411961e+00
3.319286679521949e+00 3.256232270955913e+00 1.262901765879937e+00 2.056384913642013e+00 1.300829887640094e-01 1.132818777115927e+00
3.333158684256991e+00 3.053650574480164e+00 1.269937940413874e+00 2.063220743843116e+00 1.249513932400972e-01 1.144986547173777e+00
3.493674174789204e+00 2.959131174386225e+00 1.287275551831534e+00 2.206398622957669e+00 1.262633581852827e-01 1.161012193646251e+00
2.921352792180080e+00 3.893587840224755e+00 1.252681841334168e+00 1.668670950845913e+00 1.376362276453013e-01 1.115045613688867e+00
3.497794011224430e+00 3.249460475727936e+00 1.215572277119265e+00 2.282221734105165e+00 1.418003499608365e-01 1.073771927158429e+00
3.196004726600711e+00 3.182334695316664e+00 1.259228209439152e+00 1.936776517161560e+00 1.254561668619433e-01 1.133772042577208e+00
2.788005453322900e+00 3.950723176504806e+00 1.244328043616457e+00 1.543677409706443e+00 1.349576642045002e-01 1.109370379411958e+00
3.232397735996066e+00 3.264791936422962e+00 1.267283945572256e+00 1.965113790423810e+00 1.268370565937964e-01 1.140446888978460e+00
3.782094326647991e+00 3.169740235541347e+00 1.245680018736592e+00 2.536414307911399e+00 1.481420623255786e-01 1.097537956411013e+00
3.312448561951169e+00 3.505297428987773e+00 1.285421041679177e+00 2.027027520271993e+00 1.364010682850684e-01 1.149019973394108e+00
3.528390578979801e+00 3.033568685090867e+00 1.244385387880682e+00 2.284005191099119e+00 1.344239569240346e-01 1.109961430956647e+00
3.390199831671971e+00 2.809502979754355e+00 1.280648273636311e+00 2.109551558035660e+00 1.176928952394992e-01 1.162955378396812e+00
3.273407705981529e+00 3.358092581387385e+00 1.275592633468699e+00 1.997815072512830e+00 1.306440331499098e-01 1.144948600318789e+00
